CHAIN,SENDER,ASSETS,LP ($USD)
polygon,0x2446f1a75162F045d02F23D1D3b0F5A2C0f9A4cB,0.000011410598439408,0.040089
polygon,0xa9E14C1DF751dC3E710fCB3A92019667ae7fCF2D,0.00000025,0.000878
polygon,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,0.000011453432702776,0.04024
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,0.064061248318267067,55.049133
polygon,0x5161716F02ebDdE4eB8BDcb80994a69b5951a63C,0.000000000000000003,0.0
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,0.025000000000000014,21.483008
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.132858112723875317,114.167678
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.126599754323433061,108.789743
polygon,0x035f23Cf31b863F8370A865e3D6442257C582887,0.02500239097104899,21.485063
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.042943338899975656,36.902084
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.166572353147178896,143.13901
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.069447528128848201,59.677673
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.044885777388727511,38.571261
polygon,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,0.187875970358529235,161.445642
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.086968978914611921,74.734212
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.086549891616453671,74.374082
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.069499071901410465,59.721965
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.195188244367523449,167.729228
polygon,0x34bBaEA58d467218C41A61adcC4A54202DF2b691,0.064530171450392796,55.452088
polygon,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,0.035047051119317167,30.116643
