CHAIN,SENDER,ASSETS
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,50.0
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,135.810111
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,117.894185
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,180.0
polygon,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.01
polygon,0x4A228f14d2130E8E4636418B52aAF3D6b4E887D3,0.01
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.01
polygon,0x25FA68A4c340202737EDBC67fD1a2Ec8DE872dB6,1.0
polygon,0xa9E14C1DF751dC3E710fCB3A92019667ae7fCF2D,0.01
polygon,0x2446f1a75162F045d02F23D1D3b0F5A2C0f9A4cB,0.007793
polygon,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,4.999992
polygon,0xdAc7a91516112703448B5d1fbC8B679fcE838E8A,0.01
polygon,0x0754F1Df5f57C969E82a4E6e9d1f1c7D04Df7587,0.001
polygon,0x1415517e51Cd6b8cca8C1Da56400ff47aab03644,1.0
polygon,0x59c6D0c21d9700F3dbD25c7533C87ebA53fFbFff,0.023
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,900.0
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,30.0
polygon,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,135.810112
polygon,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.01
polygon,0x4A228f14d2130E8E4636418B52aAF3D6b4E887D3,0.01
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.01
polygon,0x108706524972d0E44936B34109de5bf18Ed60c67,0.01
polygon,0x25FA68A4c340202737EDBC67fD1a2Ec8DE872dB6,0.7
polygon,0xa9E14C1DF751dC3E710fCB3A92019667ae7fCF2D,0.01
polygon,0x2446f1a75162F045d02F23D1D3b0F5A2C0f9A4cB,0.00779
polygon,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,4.999995
polygon,0x0754F1Df5f57C969E82a4E6e9d1f1c7D04Df7587,0.001
polygon,0x1415517e51Cd6b8cca8C1Da56400ff47aab03644,0.6
polygon,0x59c6D0c21d9700F3dbD25c7533C87ebA53fFbFff,0.024999
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,194.354928
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,200.0
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,32.270019
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,200.0
arbitrum,0x831Db56a947c2A680A0Ac4700A87f98Db32328D8,0.01
arbitrum,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,5.0
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,109.760203
arbitrum,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,900.0
arbitrum,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,38.500983
arbitrum,0x01b7D2F271fA4fEF54d47b3b58FbC0dB41D800eB,17.366512
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,200.0
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,60.48141
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,4.104592
arbitrum,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,25.035271
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,300.0
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,33.480035
arbitrum,0x5Ec869c1Cb378bb77Bc55BB56129399f6828c8C5,28.897769
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,100.087046
arbitrum,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,4.949998
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,97.418908
arbitrum,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,900.0
arbitrum,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,519.347976
arbitrum,0xeEDc178E4ad2fE7ceBFbA111bff11E8E0AD106aD,2408.011126
arbitrum,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,96.539687
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,84.244521
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,200.45869
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,40.0
arbitrum,0xF6846BD459bF7FB9132c4453206933252A197636,7.500002
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,188.507331
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,202.417343
arbitrum,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,5.0
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,1.238641
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,5.682358
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,82.719988
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,97.123472
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,100.0
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,109.657342
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,327.733563
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,102.457653
arbitrum,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,5.0
arbitrum,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,3090.758154
arbitrum,0x49EdA9C3F0CD41417349881a775C61C47E659396,64.348431
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,276.366202
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,300.0
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,29.166466
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,250.0
arbitrum,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,5.0
arbitrum,0x19A313d0D3eF1Cd269817aE4f943DFf55CfF2568,30.038584
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,73.964512
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,25.0
arbitrum,0x49EdA9C3F0CD41417349881a775C61C47E659396,65.886033
arbitrum,0x49EdA9C3F0CD41417349881a775C61C47E659396,50.398852
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,76.006527
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,3.0203
arbitrum,0x49EdA9C3F0CD41417349881a775C61C47E659396,50.906169
arbitrum,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,5.0
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,13.68026
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,6.627048
arbitrum,0xeEDc178E4ad2fE7ceBFbA111bff11E8E0AD106aD,950.0
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,138.305901
arbitrum,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,5.0
arbitrum,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,25.0
arbitrum,0x725b629153C9ec6A3BF5FA96608C345711eece5E,1.804436
arbitrum,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,105.0
arbitrum,0x90e06d2d9705c181Bad2A4e7c3DcA13631a6f479,550.0
arbitrum,0x19A313d0D3eF1Cd269817aE4f943DFf55CfF2568,30.43044
arbitrum,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,2.145395
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,13.070203
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,1.652381
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,543.318241
arbitrum,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,96.680827
arbitrum,0x66EC0Da50B1B54A52817417FE1A92dF7A961d149,63.79089
arbitrum,0xC7d15f80A49F396e9D5B0c07DB9D727deEaE52fc,504.795659
zkevm,0x90e9Ecc016A6971Cd28ceE85C53e72517A451a38,1249.377915
zkevm,0xAaF79B2956080cdfb589216db4f3cfb5c3A33A59,21.822215
zkevm,0xb772565dFd2115a43B05779CBA608Cbb2D559508,4.975598
zkevm,0x2bC12061C8912505978472C21d4a23dB43AF62aA,2.1
zkevm,0xE8c2f86ACC0fdC0E7a4d631895aAF013bC480F6b,2.5
zkevm,0x1518fcd87D333B632C28596F2DDa8B8fA20c5f75,0.009998
zkevm,0xCd0D4CDb238Eec15Fcf4ff9d13d5a59051E507D7,2.0
zkevm,0xaD5215C086147c1bC8a197A05cD30434230F0dc5,0.01
zkevm,0x15116eD5D1e5038737C01E55C39d4aC50f1cad28,0.01
zkevm,0xb74Cf5BcA30ce8b7AEb484CcD21A3204040141D1,1.237702
zkevm,0xAcd54246EDa0c5638a247C4717a8782c21497eb6,0.1
zkevm,0x20628b67CE5CdDac1CB95198C0fF5271f39fc048,0.5
zkevm,0xeAE326EabC4bA98c196c9a8efEc46278f2818332,0.01
zkevm,0x13Ae56e4353b0103Cf90B0925B0fC88014c13380,1.0
zkevm,0x0671D77376069262cc075746eAF8Bfe82B008C1C,5.0
zkevm,0xC9b74F142653F77219d78EB73cBd8994813a3060,3.999946
zkevm,0x526a27AFCaAFB834d7d4A4f0A142c0D55d24FbC8,0.01
zkevm,0xEEFa4ee58189920b8B5EDF10D3E5D0Cf0791Dcdc,2.0
zkevm,0x69Aea131aa2c758e65afFb07aDAC06A9d42d42fF,0.01
zkevm,0xA28A89C9d6A52F2F5a64E3f3b764ED686FBD76EB,1.0
